Mauro Júnior	LB	79
Fran García	LB	79
Marcos Acuña	LB	78
Nuno Tavares	LB	78
Pedro Porro	RB	82
Konrad Laimer	RB	82
Jurriën Timber	RB	82
Reece James	RB	81
Daniel Muñoz	RB	81
Mingueza	RB	80
Ola Aina	RB	80
Jonathan Clauss	RB	80
Noussair Mazraoui	RB	80
Tino Livramento	RB	80
Aaron Wan-Bissaka	RB	80
Matheus Nunes	RB	79
Diogo Dalot	RB	79
Kyle Walker	RB	79
Rodinei	RB	79
Andrei Rațiu	RB	79
Sergiño Dest	RB	79
Alexander Bah	RB	79
Vangelis Pavlidis	ST	82
Jonathan Burkardt	ST	82
Kai Havertz	ST	82
Oyarzabal	ST	82
Jean-Philippe Mateta	ST	82
Jonathan David	ST	82
Yoane Wissa	ST	82
Dušan Vlahović	ST	82
Youssef En-Nesyri	ST	82
Duván Zapata	ST	82
Ivan Toney	ST	81
Gerard Moreno	ST	81
Randal Kolo Muani	ST	81
Morata	ST	81
Pierre-Emerick Aubameyang	ST	81
Simon Banza	ST	81
Mohamed Amoura	ST	80
Julian Quiñones	ST	80
Benjamin Šeško	ST	80
Boulaye Dia	ST	80
Ayoub El Kaabi	ST	80
Nicolas Jackson	ST	80
Gonçalo Ramos	ST	80
Dominic Solanke	ST	80
Evanilson	ST	80
Darwin Núñez	ST	79
Sebastián Villa	ST	75
Adriano Bertaccini	ST	75
Sheraldo Becker	ST	75
Braian Romero	ST	74
Sekou Koita	ST	74
Oliver Burke	ST	73
Emanuel Emegha	ST	78
Ángel Di María	RW	82
Domenico Berardi	RW	82
Savinho	RW	82
Ivan Perišić	RW	81
Jacob Murphy	RW	81
Antony	RW	81
Matteo Politano	RW	81
Anthony Elanga	RW	81
Mohammed Kudus	RW	80
Noni Madueke	RW	80
Samuel Chukwueze	RW	80
Evann Guessand	RW	79
Brennan Johnson	RW	79
Nicolas Kühn	RW	78
Amor Layouni	RW	72
Jhon Murillo	RW	72
Teddy Okou	RW	70
Emmanuel Sabbi	RW	70
Ferran Torres	LW	83
Leandro Trossard	LW	83
Yannick Carrasco	LW	81
Anthony Gordon	LW	83
Gabriel Martinelli	LW	81
David Neres	LW	81
Jack Grealish	LW	80
Jérémy Doku	LW	80
Armand Laurienté	LW	80
Kerem Aktürkoğlu	LW	80
Daizen Maeda	LW	79
Denis Bouanga	LW	79
Hirving Lozano	LW	78
Bruma	LW	78
Timo Werner	LW	77
Claudiu Petrila	LW	72
Couhaib Driouech	LW	70
Wei Shihao	LW	70
Carlos Forbs	LW	70
Gabriel Silva	LW	74
Adrien Rabiot	CAM	83
Dominik Szoboszlai	CAM	83
Pedro Gonçalves	CAM	83
Matheus Cunha	CAM	83
Eberechi Eze	CAM	83
Julian Brandt	CAM	83
Morgan Rogers	CAM	82
Malik Tillman	CAM	82
Otávio	CAM	82
Giovani Lo Celso	CAM	82
Morgan Gibbs-White	CAM	82
Malcom	CAM	82
Charles De Ketelaere	CAM	82
Trincão	CAM	82
Rafa	CAM	82
Teun Koopmeiners	CAM	81
Anderson Talisca	CAM	81
Ricardo Horta	CAM	81
Isi	CAM	81
Andrej Kramarić	CAM	81
Christopher Nkunku	CAM	81
Lucas Torreira	CDM	83
Morten Hjulmand	CDM	83
Zubimendi	CDM	83
Palhinha	CDM	83
Boubacar Kamara	CDM	83
Angelo Stiller	CDM	83
Felix Nmecha	CDM	82
Denis Zakaria	CDM	82
Mattéo Guendouzi	CDM	82
Carlos Baleba	CDM	81
Marcelo Brozović	CDM	81
Johnny Cardoso	CDM	81
Youssouf Fofana	CDM	81
Franck Yannick Kessié	CDM	80
Leon Goretzka	CM	82
Joelinton	CM	82
André-Franck Zambo Anguissa	CM	82
Éderson	CM	82
Pablo Barrios	CM	82
Khéphren Thuram	CM	81
Conor Gallagher	CM	81
Davide Frattesi	CM	81
Yangel Herrera	CM	81
Ruben Loftus-Cheek	CM	80
Salem Al Dawsari	LM	82
Álex Berenguer	LM	82
Kaoru Mitoma	LM	82
Serge Gnabry	LM	82
Filip Kostić	LM	81
Sergi Darder	LM	81
Galeno	LM	81
Barış Alper Yılmaz	LM	80
Marcus Rashford	LM	80
Riccardo Orsolini	RM	82
Leroy Sané	RM	82
Takefusa Kubo	RM	82
Mason Greenwood	RM	82
Dodi Lukébakio	RM	82
Ritsu Doan	RM	82
Brahim Díaz	RM	82
Giuliano Simeone	RM	81
Federico Chiesa	RM	81
Karim Adeyemi	RM	81
Arda Güler	RM	81
Franck Honorat	RM	81
Pedro Neto	RM	80
Nicolas Pépé	RM	80
